r_nsa,r_necklen,r_neckhead,r_headoff,r_lt,r_shaftax,r_headr
39.026193668285565,41.244138646721986,0.8833199810991913,-50.67306830518114,27.084374999999998,7.425558821400095,23.346091750012462
23.186033264320965,32.14989905479047,0.6887774235994581,24.42072966311324,38.84210526315789,16.981214710438742,23.338380406532067
39.11314737314301,40.18616031998259,0.8846514043105517,-47.43710293913662,8.7,8.293596172742733,22.712991876897238
34.86858007395477,36.038358081291356,0.7900413575220232,43.09303882195451,5.715789473684219,6.640613124313561,22.807893370497855
28.840288716765457,36.49260549731764,0.7147996624163998,-35.182011106284,29.4,12.542287086763025,25.526456863419178
25.491003095550536,30.62083161471033,0.6014499355648082,15.581329736694329,46.603125,20.21183425166501,25.45584412271571
29.52779022738703,46.352094078934854,0.8061389253552742,42.168171228887594,17.17346938775511,7.762601388710532,28.7494454249973
31.160091552755716,42.62545911542866,0.7376475692423011,-37.2535399213696,30.476861167002014,7.663925438381891,28.892835069742585
16.280841753824856,27.833787203864212,0.5330684279809836,-5.9768196347756035,30.090852130325814,22.113453140241667,26.107142857142854
7.050235538723592,30.214696818753374,0.5563938965222992,5.239289264634779,36.39965986394558,26.194190951400625,27.152254012497444
21.452930870001488,33.81108444205043,0.6694454021341788,-22.064953925263875,35.01190476190476,20.670537805103756,25.253055988032298
25.17832417035374,27.92460863492084,0.5230585221964235,23.70323088797138,39.578125,22.1146570112742,26.693579637762166
29.340991539011416,42.39538748694869,0.791658575359642,-44.55574553129076,20.798534798534792,0.34224383251067286,26.77630787217136
33.697895706039624,54.988785182727355,1.0812806846899172,56.07320554537287,14.57142857142857,2.9700593953600625,25.42761836095162
27.771095138692097,31.969559216562658,0.6286403253310603,-32.09218225208094,32.699999999999996,13.832306575341295,25.42754412050051
22.711073101018137,28.357912933147077,0.5862277006944633,12.063648792582882,39.82105263157895,22.86281927141967,24.186773244895647
32.86896744191757,41.93629241454826,0.8731272245472413,-44.57733146476414,22.08,4.260027451605852,24.014995315427402
29.735191280933986,43.21567569364109,0.829477069060262,40.30219829500802,26.276923076923076,13.607406870078728,26.049952015310893
29.67362233259392,50.46447661080614,0.9122735012300869,-47.8910069361397,3.092307692307696,5.720139151040362,27.65863337187866
29.813639479337123,39.64821155770543,0.8824721173416153,-39.66575408928755,17.08521303258145,8.487646624658458,22.46428571428571
25.83086390989492,37.20685438339016,0.8534451411394982,28.15735038554309,29.323934837092736,13.55652186995564,21.798035157662575
32.402150832796,32.52808642845608,0.6774567950796512,-45.94333431286119,29.6,4.621021757607003,24.007498828491066
46.922014418676135,30.84788726752414,0.6516874877747247,48.548052278179824,26.253061224489795,8.832703335882925,23.667699507979226
32.24155813882657,33.67235547040801,0.6780232969183196,42.84947657376607,28.28571428571429,11.040827764573642,24.831267320350246
31.574827213193792,39.02720947760548,0.7530023774485701,-36.656366158169924,27.85714285714286,8.236897009955158,25.91439990524534
60.23069975176866,36.24926543894701,0.8024357694998631,-40.13529545935367,0.0,6.0803215139950595,22.58701993153933
39.564126091329804,50.876299959277134,1.00270346059735,56.00333752168561,9.575510204081633,0.16541319744604005,25.36956436201393
16.85110069196798,69.91674852743586,1.3564437598128958,-39.221653095013956,41.91428571428572,11.575264312590024,25.772077913897434
19.843419182926954,32.872499661042966,0.5687317725715036,22.61830938810519,41.53469387755102,24.989341968854447,28.89982698910151
30.383736881660845,36.97054007254827,0.7126946107731991,-22.81029601630051,32.159598214285715,10.236215935208937,25.937154226856787
47.372506485858025,31.095728282731642,0.6132062980913706,30.900707705416583,25.079670329670336,1.9953859057841234,25.35503009306848
24.79478100401289,35.045495905920234,0.7565851790462449,-41.05754134349269,10.292307692307691,12.094523108707431,23.16031087874254
18.85297673727886,27.231035614755452,0.44708279166599335,-5.652319027331863,5.5634110787172,33.98169740846982,30.4541307811051
22.193972905496736,28.207908343295195,0.436442174425128,15.390655565239394,7.073920265780744,30.194892913387008,32.31574535670164
29.413699531963466,34.27361605352424,0.5328572366536409,-33.2911343512747,43.714285714285715,17.247521598801374,32.16022387981775
10.222537782470885,26.782217055928005,0.4455689806257259,6.596012612632751,57.98571428571428,28.32247064741738,30.053951487283666
15.397477044458997,24.307993921092937,0.4594943010200211,-7.248015270722478,42.77947845804988,29.420665314801987,26.45081110596167
16.095491568600906,30.481981481479327,0.5823706162804977,-1.5316518833596857,50.19047619047618,29.966172950062816,26.17060393273494
8.337391548708032,33.4229863458678,0.6667550133307447,-0.4327767867621105,41.2842105263158,30.51312941170651,25.063918289046505
3.158416028007766,28.66060693720382,0.5561906434925246,-13.720995783045435,1.842857142857133,37.94731960583523,25.765092664300663
43.414753918956364,42.80957142440942,0.7993927248816377,-50.10102853022406,25.88480885311871,6.50891005163147,26.77630787217136
39.05776140044619,45.50786742687419,0.9052326083292886,53.09573245812793,16.071938775510198,1.7515776822790357,25.13600758973112
21.965411350575152,46.20043204592191,0.7764778495112926,-29.430878356113276,34.72098214285714,13.503176153058334,29.749999999999996
30.77145660836163,26.45170693758913,0.5456179609354823,-13.143759630585867,29.693080357142854,23.95790727441656,24.240135801465087
24.214152069152618,30.81891427927471,0.6096732885571166,0.3390316021933728,43.82080200501253,31.78837479260391,25.27494221717693
