foreign_count,foreign_area,foreign_max_area,foreign_compactness,foreign_top,foreign_peak_rel,foreign_asym,foreign_elong_max,foreign_elong_count,foreign_area_left,foreign_area_right,image_uid
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.11100905091110000105111305090709
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.02101009080308000015051512140806
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.12031311070507060813050800031313
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.04131510070001011107040403071102
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.10081312010805021201100507060411
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.08050506060410091114110412130504
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.06141210040207130507130606070312
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.10031005061115110908060312000307
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.11151304101402090112060913070605
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.08121504041301080101130415050611
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.13130511100900071404010502130909
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.03120008051300001208141011101302
1.0,0.004143550624133148,0.004143550624133148,0.5772946859903382,0.09578746394767845,0.9549719627867354,1.0,7.651273199044661,1.0,0.004143550624133148,0.0,1.2.643.5.1.13.13.12.2.77.8252.03020502031409151006020306090105
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.07111115111305011108141412010801
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.02011409120209130807021302101100
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2.643.5.1.13.13.12.2.77.8252.07050602130910101513020700010509
